,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
19,"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",Accounts,Public,Committee of: Index and digest of evidence,WYMAN,3d.,,"Accounts (Public)-Committee of: Index and digest of evidence. 3d. .. WYMAN, Oct. 15",Public Accounts,['Accounts (Public)'],,Oct. 15,1915,
20,"Achievement of France (The). Repr. fr. The Times. 18mo. is. net swd. METHUEN, July 15",,,Achievement of France (The),METHUEN,,18mo.,"Achievement of France (The). Repr. fr. The Times. 18mo. is. net swd. METHUEN, July 15",,,,July 15,1915,
21,"Acorn (George)—The Driving force. Cr. 8vo. 7} x 41, pp. 320, 6s. .LONG, July 15",Acorn,George,The Driving force,LONG,6s.,8vo.,"Acorn (George)—The Driving force. Cr. 8vo. 7} x 41, pp. 320, 6s. .LONG, July 15",George Acorn,['Acorn (George)'],,July 15,1915,
22,"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; 1sle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) 1d.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., 1s. ; Frimley and Farnborough District Water, 1s. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,Acts—Appropriation,WYMAN,6d.,,"Acts—Appropriation, 3d.; Cotton Associations (Emergency action), 4d. ; Customs (War powers) (No. 2), d.; Elections and Registra- tion, d.; Execution of Trusts (War facilities) Amend., d. ; Expiring Laws Continuance, id. ; Finance, 2ld.; Government of India, 7d. ; Isle of Man (Customs), Jd.; Maintenance of Live Stock, d.; Milk and Dairies (Consolidation), 2 d.; Naval Discipline (No. 2), id.; Notifica- tion of Births (Extension), fd.; Police Magis- trates (Superannuation); }d.; Price of Coal (Limitation) Id.; Public Works Loan, id. ; Scottish Universities (Emergency Powers), d.; Special Acts (Extension of time), 1d.; Trading with the Enemy Amend., įd.; Naval Discip- line, 1866 (as amended, N.D. (No. 2) Act, 1915), 4d.; Electric Lighting Ord. Confirm. (No. 1.), 6d.; Forfar Gas Ord. Confirm., Is. ; Frimley and Farnborough District Water, 15. ; Gt. North of Scotland Railway Ord. Confirm., is. gd.; Highland Railway Ord. Confirm., 6d.; Irvine and District Water Bd. (Emergency powers) Ord. Confirm., is. ; L.G.B.'s Prov. Ord. Confirm. : No. 2, is. 6d. ; No. 3, is. ; No. 4, 9d.; No. 7, 3d. ; L.C.C. Money, gil.; L.C.C. Parks, &c., 6d. ; Metropolitan District Rail- way, 2s. 3d. ; Pack-Beresford's Divorce, gd.; Roy. School for Deaf and Dumb Children, Mar- gate, 66. ; Sea Fisheries (Cardigan Bay) Prov. Ord. Confirm., 6d. ; do. Poole, 9d. ; Tramways Ord. Confirm., 6d. WYMAN, Aug 15",,,,Aug 15,1915,
23,"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 2s. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 2s. ; Irvine and District Water Bd. Confirm., 1s. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 1s.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 2s. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 2s. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, s. WYMAN, Sept. 15",,,"Acts—Ascot District Gas and Electricity, is",WYMAN,,,"Acts—Ascot District Gas and Electricity, is. 3d. ; Blyth Harbour, is. 3d. ; Bristol Tramways, 3d.; Bury and District Joint Water Bd., 6d. ; Doncaster Corporation, 4s. 6d.; Dunfermline and District Tramways (Exten.) Ord. Confirm., 25. ; Falmouth Docks, is.; Foleshill Road (Coventry) Congregational Chapel Scheme Confirm., 6d.; Gas and Water Ord. Confirm. (No. 1), 43. ; Glasgow Corporation (Parks, &c.) Ord. Confirm., is, 6d.; Great Central Railway, 6d. ; Ilfracombe Gas, 25. ; Irvine and District Water Bd. Confirm., Is. 3d. ; Kilmarnock Gas Ord. Confirm., 3d. ; Land Drainage Prov. Ord. Confirm. (Fangfoss, &c.), 3d. ; Ditto (Ouse), 15.; Liverpool Corporation, 9d.; L.G.B. Prov. Ord. Confirm. (No. 6), is. 6d.; L.G.B. (Ireland) Prov. Ord. Confirm. (No. 1), is. ; London Chatham and Dover Railway, gd. ; London Electric Railway Companies' Facilities, 3d.; Mersey Railway, 6d.; Port Glasgow Gas and Burgh Exten. Ord. Confirm., 25. 3d. ; Prov. Ord. (Marriages) Confirm., 3d.; Salop County Council (Shirehall and Guildhall), 9d. ; Sheffield Corporation (Tramways), gd.; Skegness Gas 25. 3d. ; South Staffordshire Waterworks, 3s. ; Southend Waterworks, IS. WYMAN, Sept. 15",,,,Sept. 15,1915,
24,"Acts---American Loan, d.; Consolidated Fund (No. 4), įd.; Post Office and Telegraph, d.; Altrincham Gas, is. 9d.; Brighton and Hove Gas, 6d.; Conway Fisheries Prov. Ord. Con- firm., 1s. 60.; Education Bd. Prov. Ord. Con- firm. (Derbyshire, &c.), 9d.; Ditto (London), s. ; Electric Lighting Ord. Confirm. (No.2), 2s.; Ditto (No. 5), is. gd.; Friends' Provident Institution, 2s. 3d.; Gas and Water Ord. Confirm. (No. 3), 4s. 6d.; Great Eastern Rail- way, 3s. gd.; Halifax Corporation, 2s. 6d. ; Land Drainage (Raveningham) Prov. Ord. Confirm., 3d.; Local Government Board's Prov. Ord. Confirm. (No. 5), is. ; Ditto (No. 8), 2s. 3d. ; Ditto (No. 9), is. 3d.; Neath Canal Navigation, 3d.; Ormskirk Gas and Elec- tricity, 2s. 6d.; Seaforth and Sefton Junction Railway, is 3d ; Skegness Urban District Gas, is. ; Streatley and Goring Bridge, is. 60.; Sunderland Corporation (Wearmouth Bridge), s. 6d.; Sutton District Waterworks, 60; Warwick Gas, 2s.6d.; West Gloucestershire Water, 6d. . WYMAN, Oct, 15",,,"Acts---American Loan, d",WYMAN,6d.,,"Acts---American Loan, d.; Consolidated Fund (No. 4), įd.; Post Office and Telegraph, d.; Altrincham Gas, is. 9d.; Brighton and Hove Gas, 6d.; Conway Fisheries Prov. Ord. Con- firm., Is. 60.; Education Bd. Prov. Ord. Con- firm. (Derbyshire, &c.), 9d.; Ditto (London), IS. ; Electric Lighting Ord. Confirm. (No.2), 25.; Ditto (No. 5), is. gd.; Friends' Provident Institution, 25. 3d.; Gas and Water Ord. Confirm. (No. 3), 45. 6d.; Great Eastern Rail- way, 3s. gd.; Halifax Corporation, 25. 6d. ; Land Drainage (Raveningham) Prov. Ord. Confirm., 3d.; Local Government Board's Prov. Ord. Confirm. (No. 5), is. ; Ditto (No. 8), 25. 3d. ; Ditto (No. 9), is. 3d.; Neath Canal Navigation, 3d.; Ormskirk Gas and Elec- tricity, 2s. 6d.; Seaforth and Sefton Junction Railway, is 3d ; Skegness Urban District Gas, is. ; Streatley and Goring Bridge, is. 60.; Sunderland Corporation (Wearmouth Bridge), IS. 6d.; Sutton District Waterworks, 60; Warwick Gas, 2s.6d.; West Gloucestershire Water, 6d. . WYMAN, Oct, 15",,,,"Oct, 15",1915,
25,"Active service pocket dictionary and letter wallet. 8vo. s. net ..GALE & P., Apr. 15",,,Active service pocket dictionary and letter wallet,GALE & P.,,8vo.,"Active service pocket dictionary and letter wallet. 8vo. IS. net ..GALE & P., Apr. 15",,,,Apr. 15,1915,
26,"Acts—Index to Local and Private Acts, 1914. 58. gd. .WYMAN, July 15",,,Acts—Index to Local and Private Acts,WYMAN,,,"Acts—Index to Local and Private Acts, 1914. 58. gd. .WYMAN, July 15",,,,July 15,1915,
27,"Acts—Index to Public General Acts, 1914. 71d. WYMAN, Feb. 15",,,Acts—Index to Public General Acts,WYMAN,71d.,,"Acts—Index to Public General Acts, 1914. 71d. WYMAN, Feb. 15",,,,Feb. 15,1915,
28,"Acts—Public General Acts, 1914. With index, &c. In one vol. 8vo. 3s.....WYMAN, Feb. 15",,,Acts—Public General Acts,WYMAN,3s.,8vo.,"Acts—Public General Acts, 1914. With index, &c. In one vol. 8vo. 35.....WYMAN, Feb. 15",,,,Feb. 15,1915,
29,"Acts-Alexandra (Newport and S. Wales) docks and railway, 2s. 3d.; De Trafford Estate, 5s. gd.; Edenbridge and District gas, 2s. 6d. ; Ellesmere Port and Whitby Urban District Council, 3s. 60.; Falkland and Pluscarden Estates, is. gd.; Great Western Railway, 15s.; Hay- wards Heath gas, 2s. 6d. ; Hesketh Estate (flood defences), 2s. ed. ; Newcastle-on-Tyne Corporation, 28. 3d. ; Norwich electric tram- ways, 2s. 6d. ; Poole Harbour, 2s. 6d. ; Porth. cawl Urban District Council, 4s. 60.; St. Anne's on-the-Sea improvement, 28. gd. ; Sheffield Corporation, 4s. 3d. ; Skegness Urban District Council, 2s. 3d.; Wadhurst and District gas, 2s. 60.; Wesleyan and General Assurance Society, 2s. 9d. ; West Gloucester shire water, 28. od ; York Corporation, 4s. 3d. WYMAN, Jan. 19 Acts —Army (Amendment), fd.; Army (Annual) 1d.; Army (Suspension of sentences), įd.; British ships (Transfer restriction), įd.; Consolidated Fund (No. 2), Įd. ; Customs (War powers), įd. ; Defence of the Realm (Amend- ment), įd.; Do. (No. 2), £d. ; Injuries in War (Compensation), id.; Irish police (Naval and military service), d.; Legal proceedings against enemies, id.; National Insurance (Pt. ! Amendment), d.; Do. (Pt. 2), 4d.; Naval discipline, id. ; Naval marriages, jd.; Naval Medical Compassionate Fund, d.; Universities and colleges (Emergency powers), id... .WYMAN, Mar. 15",Acts-Alexandra,Newport,2s,WYMAN,,,"Acts-Alexandra (Newport and S. Wales) docks and railway, 25. 3d.; De Trafford Estate, 55. gd.; Edenbridge and District gas, 25. 6d. ; Ellesmere Port and Whitby Urban District Council, 35. 60.; Falkland and Pluscarden Estates, is. gd.; Great Western Railway, 155.; Hay- wards Heath gas, 25. 6d. ; Hesketh Estate (flood defences), 25. ed. ; Newcastle-on-Tyne Corporation, 28. 3d. ; Norwich electric tram- ways, 25. 6d. ; Poole Harbour, 25. 6d. ; Porth. cawl Urban District Council, 4s. 60.; St. Anne's on-the-Sea improvement, 28. gd. ; Sheffield Corporation, 45. 3d. ; Skegness Urban District Council, 25. 3d.; Wadhurst and District gas, 25. 60.; Wesleyan and General Assurance Society, 2s. 9d. ; West Gloucester shire water, 28. od ; York Corporation, 45. 3d. WYMAN, Jan. 19 Acts —Army (Amendment), fd.; Army (Annual) Id.; Army (Suspension of sentences), įd.; British ships (Transfer restriction), įd.; Consolidated Fund (No. 2), Įd. ; Customs (War powers), įd. ; Defence of the Realm (Amend- ment), įd.; Do. (No. 2), £d. ; Injuries in War (Compensation), id.; Irish police (Naval and military service), d.; Legal proceedings against enemies, id.; National Insurance (Pt. ! Amendment), d.; Do. (Pt. 2), 4d.; Naval discipline, id. ; Naval marriages, jd.; Naval Medical Compassionate Fund, d.; Universities and colleges (Emergency powers), id... .WYMAN, Mar. 15",Newport Acts-Alexandra,"['Acts-Alexandra (Newport)', 'Acts-Alexandra (S. Wales)']",,Mar. 15,1915,
30,"Acts-Army (transfers), d.; British North America, fd. ; Copyright (British Museum) {d.; Defence of the Realm (Amend.) No. 3, fd.; Fishery harbours, id. ; Fugitive offenders (Protected States), fd.; Housing (Rosyth Dockyard), fd.; Immature spirits (restriction), d.; Marriage of British subjects (facilities), jd. ; Naval discipline, id. ; Police (emergency prov.), fd.; Special constables (Scotland), 1d.; Statutory companies (redeemable stock), įd.; Naval discipline, 1866, 4d.; L.G.B.'s Prov. Ord. Confirm. 23, 2s. .... WYMAN, May 15",Acts-Army,transfers,"British North America, fd",WYMAN,2s.,,"Acts-Army (transfers), d.; British North America, fd. ; Copyright (British Museum) {d.; Defence of the Realm (Amend.) No. 3, fd.; Fishery harbours, id. ; Fugitive offenders (Protected States), fd.; Housing (Rosyth Dockyard), fd.; Immature spirits (restriction), d.; Marriage of British subjects (facilities), jd. ; Naval discipline, id. ; Police (emergency prov.), fd.; Special constables (Scotland), Id.; Statutory companies (redeemable stock), įd.; Naval discipline, 1866, 4d.; L.G.B.'s Prov. Ord. Confirm. 23, 25. .... WYMAN, May 15",transfers Acts-Army,['Acts-Army (transfers)'],,May 15,1915,
31,"Acts-Consolidated Fund (3), d.; Ministry of munitions, id. ; Re-election of ministers, d.; Aberdeen Corporation Ord. Confirm., 2s. WYMAN, June 15",Acts-Consolidated Fund,3,"Ministry of munitions, id. ; Re-election of ministers, d",WYMAN,2s.,,"Acts-Consolidated Fund (3), d.; Ministry of munitions, id. ; Re-election of ministers, d.; Aberdeen Corporation Ord. Confirm., 2s. WYMAN, June 15",3 Acts-Consolidated Fund,['Acts-Consolidated Fund (3)'],,June 15,1915,
32,"Adair (Cecil)—The Sails of life. Cr. 8vo. 7* 4*, pp. 420, 6s. ..S. PAUL, July 15",Adair,Cecil,The Sails of life,S. PAUL,6s.,8vo.,"Adair (Cecil)—The Sails of life. Cr. 8vo. 7* 4*, pp. 420, 6s. ..S. PAUL, July 15",Cecil Adair,['Adair (Cecil)'],,July 15,1915,
33,"Adam (George)—Behind the scenes at the Front. 8vo. 9 X 51, pp. 240, 6s. net ..CHATTO, June 15",Adam,George,Behind the scenes at the Front,CHATTO,6s.,8vo.,"Adam (George)—Behind the scenes at the Front. 8vo. 9 X 51, pp. 240, 6s. net ..CHATTO, June 15",George Adam,['Adam (George)'],,June 15,1915,net
34,"Adam (Paul)-Stéphanie. Cheap ed. 18mo. 61 X 4, pp. 282, is. net ...NELSON, Oct. 15",Adam,Paul,Stéphanie,NELSON,,18mo.,"Adam (Paul)-Stéphanie. Cheap ed. 18mo. 61 X 4, pp. 282, is. net ...NELSON, Oct. 15",Paul Adam,['Adam (Paul)'],,Oct. 15,1915,
35,"Adams (Alexander A.)—The Plateau peoples of South America ; an essay in ethnic psychology. Cr. 8vo. 74 x 5, pp. 142, 3s. 6d. net ROUTLEDGE, Apr. 15",Adams,Alexander A.,The Plateau peoples of South America ; an essay in ethnic psychology,ROUTLEDGE,3s. 6d.,8vo.,"Adams (Alexander A.)—The Plateau peoples of South America ; an essay in ethnic psychology. Cr. 8vo. 74 x 5, pp. 142, 3s. 6d. net ROUTLEDGE, Apr. 15",Alexander A. Adams,['Adams (Alexander A.)'],,Apr. 15,1915,net
36,"Adams (Arthur)-Grocer Greatheart. Cr. 8vo. 73 X5, pp. 336, 6s. .LANE, Feb. 15",Adams,Arthur,Grocer Greatheart,LANE,6s.,8vo.,"Adams (Arthur)-Grocer Greatheart. Cr. 8vo. 73 X5, pp. 336, 6s. .LANE, Feb. 15",Arthur Adams,['Adams (Arthur)'],,Feb. 15,1915,
37,"Adams (George Matthew)—You can : a collection of brief talks on the most important topic in the world—your success. Cr. 8vo. 71 x 5, pp. 128, 2s. net ...SIMPKIN, Sep. 15",Adams,George Matthew,You can : a collection of brief talks on the most important topic in the world—your success,SIMPKIN,2s.,8vo.,"Adams (George Matthew)—You can : a collection of brief talks on the most important topic in the world—your success. Cr. 8vo. 71 x 5, pp. 128, 25. net ...SIMPKIN, Sep. 15",George Matthew Adams,['Adams (George Matthew)'],,Sep. 15,1915,net
38,"Adams (J. Esslemont)-The Chaplain and the War. Cr. 8vo. 71 X 5, pp. 62, swd., 6d. net T. & T. CLARK, Dec. 15",Adams,J. Esslemont,The Chaplain and the War,T. & T. CLARK,6d.,8vo.,"Adams (J. Esslemont)-The Chaplain and the War. Cr. 8vo. 71 X 5, pp. 62, swd., 6d. net T. & T. CLARK, Dec. 15",J. Esslemont Adams,['Adams (J. Esslemont)'],,Dec. 15,1915,net
39,"Adams (John)—The Great sacrifice; or, The Altar-fire of war. Cr. 8vo., pp. 146, swd. is. net .CLARK, Nov. 15",Adams,John,"The Great sacrifice; or, The Altar-fire of war",CLARK,,8vo.,"Adams (John)—The Great sacrifice; or, The Altar-fire of war. Cr. 8vo., pp. 146, swd. is. net .CLARK, Nov. 15",John Adams,['Adams (John)'],,Nov. 15,1915,
40,"Adams (John Quincy)-Writings. Ed. by Worthington C. Ford. Vol. 5, 1814-1816. Svo. 15s. net . . MACMILLAN, July 15",Adams,John Quincy,Writings,MACMILLAN,15s.,,"Adams (John Quincy)-Writings. Ed. by Worthington C. Ford. Vol. 5, 1814-1816. Svo. 155. net . . MACMILLAN, July 15",John Quincy Adams,['Adams (John Quincy)'],,July 15,1915,net
41,"Adams (Morley) ed.--The Scout's active service book. ....FROWDE, and H. & S., Dec. 15",Adams,Morley,The Scout's active service book,H. & S.,,,"Adams (Morley) ed.--The Scout's active service book. ....FROWDE, and H. & S., Dec. 15",Morley Adams,['Adams (Morley)'],ed.,Dec. 15,1915,
42,"Adams (Morley)-Toy-making at home : how to make a hundred toys from odds and ends. 8vo., pp. 92, 1s. net .. JACK, Nov. 15",Adams,Morley,Toy-making at home : how to make a hundred toys from odds and ends,JACK,1s.,8vo.,"Adams (Morley)-Toy-making at home : how to make a hundred toys from odds and ends. 8vo., pp. 92, Is. net .. JACK, Nov. 15",Morley Adams,['Adams (Morley)'],,Nov. 15,1915,net
43,"Adams (Samuel H.)--Average Jones. Cheap ed. Cr. 8vo. swd. 1s. net...... PALMER, May 15",Adams,Samuel H.,Average Jones,PALMER,1s.,8vo.,"Adams (Samuel H.)--Average Jones. Cheap ed. Cr. 8vo. swd. Is. net...... PALMER, May 15",Samuel H. Adams,['Adams (Samuel H.)'],,May 15,1915,net
44,"Adams (W. J. Phythian-) see Phythian-Adams. Adamson (Ellen Winifred)—The School, the child and the teacher: suggestions for students in training. Cr. 8vo. 7! X5, pp. 406, 4s. 6d. LONGMANS, Jan. 15",Adams,W. J. Phythian-,"The School, the child and the teacher: suggestions for students in training",LONGMANS,4s. 6d.,8vo.,"Adams (W. J. Phythian-) see Phythian-Adams. Adamson (Ellen Winifred)—The School, the child and the teacher: suggestions for students in training. Cr. 8vo. 7! X5, pp. 406, 4s. 6d. LONGMANS, Jan. 15",W. J. Phythian- Adams,"['Adams (W. J. Phythian-)', 'Adamson (Ellen Winifred)']",,Jan. 15,1915,
